Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Callee","__build_class__","codeop.CommandCompiler",1,0.00,0.00,0.00,0.00,"codeop.py",
"Callee","__build_class__","codeop.Compile",1,0.00,0.00,0.00,0.00,"codeop.py",
"Callee","__build_class__","configparser.BasicInterpolation",1,0.00,0.00,0.07,0.00,"configparser.py",
"Callee","__build_class__","configparser.ConfigParser",1,0.00,0.00,0.00,0.00,"configparser.py",
"Callee","__build_class__","configparser.ConverterMapping",1,0.00,0.00,0.04,0.00,"configparser.py",
"Callee","__build_class__","configparser.DuplicateOptionError",1,0.00,0.00,0.00,0.00,"configparser.py",
"Callee","__build_class__","configparser.DuplicateSectionError",1,0.00,0.00,0.00,0.00,"configparser.py",
"Callee","__build_class__","configparser.Error",1,0.00,0.00,0.00,0.00,"configparser.py",
"Callee","__build_class__","configparser.ExtendedInterpolation",1,0.01,0.00,0.07,0.00,"configparser.py",
"Callee","__build_class__","configparser.Interpolation",1,0.00,0.00,0.00,0.00,"configparser.py",
"Callee","__build_class__","configparser.InterpolationDepthError",1,0.00,0.00,0.00,0.00,"configparser.py",
"Callee","__build_class__","configparser.InterpolationError",1,0.00,0.00,0.00,0.00,"configparser.py",
"Callee","__build_class__","configparser.InterpolationMissingOptionError",1,0.00,0.00,0.00,0.00,"configparser.py",
"Callee","__build_class__","configparser.InterpolationSyntaxError",1,0.00,0.00,0.00,0.00,"configparser.py",
"Callee","__build_class__","configparser.LegacyInterpolation",1,0.00,0.00,0.04,0.00,"configparser.py",
"Callee","__build_class__","configparser.MissingSectionHeaderError",1,0.00,0.00,0.00,0.00,"configparser.py",
"Callee","__build_class__","configparser.NoOptionError",1,0.00,0.00,0.00,0.00,"configparser.py",
"Callee","__build_class__","configparser.NoSectionError",1,0.00,0.00,0.00,0.00,"configparser.py",
"Callee","__build_class__","configparser.ParsingError",1,0.00,0.00,0.00,0.00,"configparser.py",
"Callee","__build_class__","configparser.RawConfigParser",1,0.03,0.00,0.47,0.01,"configparser.py",
"Callee","__build_class__","configparser.SafeConfigParser",1,0.00,0.00,0.00,0.00,"configparser.py",
"Callee","__build_class__","configparser.SectionProxy",1,0.00,0.00,0.00,0.00,"configparser.py",
"Callee","__build_class__","contextlib._AsyncGeneratorContextManager",1,0.00,0.00,0.00,0.00,"contextlib.py",
"Callee","__build_class__","contextlib._BaseExitStack",1,0.00,0.00,0.00,0.00,"contextlib.py",
"Callee","__build_class__","contextlib._GeneratorContextManager",1,0.00,0.00,0.00,0.00,"contextlib.py",
"Callee","__build_class__","contextlib._GeneratorContextManagerBase",1,0.00,0.00,0.00,0.00,"contextlib.py",
"Callee","__build_class__","contextlib._RedirectStream",1,0.00,0.00,0.00,0.00,"contextlib.py",
"Callee","__build_class__","contextlib.AbstractAsyncContextManager",1,0.00,0.00,0.00,0.00,"contextlib.py",
"Callee","__build_class__","contextlib.AbstractContextManager",1,0.00,0.00,0.00,0.00,"contextlib.py",
"Callee","__build_class__","contextlib.AsyncExitStack",1,0.00,0.00,0.00,0.00,"contextlib.py",
