Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"hmac.<genexpr>",257,0.00,0.00,0.00,0.00,"hmac.py",
"socket.<lambda>",208,0.00,0.00,0.00,0.00,"socket.py",
"issubclass",194,0.00,0.00,0.00,0.00,"builtins",
"hashlib.__get_openssl_constructor",14,0.01,0.00,0.01,0.00,"hashlib.py",
"calendar (module)",1,0.13,0.00,1.87,0.02,"calendar.py",
"http.__new__",62,0.00,0.00,0.00,0.00,"__init__.py",
"enum._check_for_existing_members",20,0.00,0.00,0.00,0.00,"enum.py",
"email._policybase (module)",1,0.05,0.00,0.66,0.02,"_policybase.py",
"_imp.is_frozen",103,0.00,0.00,0.00,0.00,"_imp",
"bottle.run",1,86.80,0.00,"1,232.72",0.02,"bottle.py",
"platform (module)",1,0.14,0.00,1.93,0.02,"platform.py",
"enum._EnumDict.__init__",20,0.00,0.00,0.00,0.00,"enum.py",
"opcode (module)",1,0.01,0.00,0.11,0.02,"opcode.py",
"sre_parse.State.closegroup",81,0.01,0.00,0.00,0.00,"sre_parse.py",
"nt.fspath",281,0.00,0.00,0.00,0.00,"nt",
"http.server (module)",1,0.20,0.00,2.86,0.02,"server.py",
"socketserver.TCPServer.server_bind",1,0.15,0.00,2.20,0.02,"socketserver.py",
"bottle.ConfigDict._set_virtual",30,0.00,0.00,0.00,0.00,"bottle.py",
"socketserver.TCPServer.__init__",1,0.36,0.00,5.14,0.02,"socketserver.py",
"dict.setdefault",95,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"json.encoder (module)",1,9.78,0.00,138.86,0.01,"encoder.py",
"copy (module)",1,0.02,0.00,0.26,0.01,"copy.py",
"ast._Unparser",1,0.00,0.00,0.02,0.01,"ast.py",
"os.__getitem__",60,0.00,0.00,0.00,0.00,"os.py",
"signal (module)",1,0.01,0.00,0.21,0.01,"signal.py",
"<frozen importlib._requires_builtin_wrapper",16,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"bottle.ConfigDict._make_overlay",7,0.00,0.00,0.01,0.00,"bottle.py",
"email.utils (module)",1,0.68,0.00,9.60,0.01,"utils.py",
"bottle.Bottle.__init__",1,0.00,0.00,0.07,0.01,"bottle.py",
"bottle.decorator",6,0.02,0.00,0.06,0.00,"bottle.py",
"<frozen importlib.find_spec",103,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"str.replace",92,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"bottle._local_property",6,0.00,0.00,0.00,0.00,"bottle.py",
"http.server.HTTPServer.server_bind",1,0.33,0.00,4.64,0.01,"server.py",
"wsgiref.handlers.read_environ",1,0.01,0.00,0.08,0.01,"handlers.py",
"re.match",107,0.01,0.00,0.00,0.00,"re.py",
"socket.fileno",1,0.00,0.00,0.01,0.01,"Unidentifiable Method",
